Wavelength  Flux
#[Angstrom]  [Flux per Angstrom]
4485.47         77.87885
4486.47         75.99181
4487.47         72.20004
4488.47         72.71959
4489.47         77.09988
4490.47         81.67255
4491.47         83.05991
4492.47         80.71483
4493.47         78.03917
4494.47         77.64056
4495.47         78.90369
4496.47         80.49837
4497.47         82.40602
4498.47         83.40678
4499.47         81.90031
4500.47         79.57807
4501.47         78.84248
4502.47         80.02689
4503.47         81.24633
4504.47         80.24667
4505.47         78.58926
4506.47         80.39751
4507.47         84.17989
4508.47          84.8624
4509.47         82.51179
4510.47          80.2249
4511.47         78.78567
4512.47          77.6108
4513.47         77.65479
4514.47         79.99768
4515.47         82.27986
4516.47         81.32313
4517.47         78.11572
4518.47         77.04094
4519.47         79.51925
4520.47         81.80406
4521.47         81.66934
4522.47         81.41066
4523.47         82.41711
4524.47         82.58107
4525.47         80.72848
4526.47         78.49345
4527.47         77.60302
4528.47             76.8
4529.47         75.60516
4530.47          76.2328
4531.47         78.13403
4532.47         78.92189
4533.47         78.86243
4534.47         79.36711
4535.47         80.51889
4536.47         81.39298
4537.47         81.94463
4538.47         81.68819
4539.47         80.56884
4540.47         80.42249
4541.47          82.2919
4542.47         84.96986
4543.47         85.70129
4544.47         84.37264
4545.47         83.00539
4546.47         82.84795
4547.47         83.99831
4548.47         85.25574
4549.47          83.8651
4550.47         79.59767
4551.47          76.2974
4552.47         75.50303
4553.47         75.29016
4554.47         75.07912
4555.47         76.70944
4556.47         78.58559
4557.47         77.49445
4558.47         75.79214
4559.47         77.28474
4560.47         80.60742
4561.47         82.17371
4562.47         82.53027
4563.47         83.14288
4564.47         81.99676
4565.47         79.92818
4566.47         80.94302
4567.47         84.73856
4568.47         86.91493
4569.47         85.11506
4570.47         81.34289
4571.47         79.34253
4572.47         80.37427
4573.47         81.62171
4574.47         81.50262
4575.47         82.28709
4576.47         82.92656
4577.47         80.48662
4578.47          77.6132
4579.47         77.32117
4580.47         77.81723
4581.47         76.94913
4582.47         76.24698
4583.47          76.8863
4584.47         78.47435
4585.47         80.83527
4586.47          81.8644
4587.47         80.68798
4588.47         80.15404
4589.47         81.40723
4590.47         82.62033
4591.47         83.39436
4592.47          83.2878
4593.47         83.41196
4594.47         86.65827
4595.47         91.04241
4596.47         91.35242
4597.47         88.08909
4598.47         86.17876
4599.47         85.31915
4600.47         82.67134
4601.47         79.98744
4602.47         80.08907
4603.47         80.82935
4604.47         79.76003
4605.47         80.99421
4606.47         86.87001
4607.47         90.41271
4608.47         88.48383
4609.47         84.80595
4610.47         81.71095
4611.47         81.75188
4612.47         84.09309
4613.47         84.25308
4614.47         81.76521
4615.47         79.80642
4616.47         79.22122
4617.47         79.05337
4618.47         79.85532
4619.47         80.76079
4620.47         80.46343
4621.47         81.16193
4622.47         83.19672
4623.47         82.93724
4624.47         81.45109
4625.47         81.21977
4626.47           81.157
4627.47          79.8539
4628.47         77.24537
4629.47          76.4781
4630.47         79.54777
4631.47         82.86061
4632.47         83.83264
4633.47          82.8663
4634.47           79.757
4635.47         74.68382
4636.47         69.60513
4637.47         67.84462
4638.47         70.60439
4639.47         75.13607
4640.47         78.97126
4641.47         80.50594
4642.47         78.88824
4643.47         76.31116
4644.47         75.38151
4645.47         74.92651
4646.47         74.70058
4647.47          75.9094
4648.47         76.69849
4649.47         76.56528
4650.47          77.5871
4651.47         81.07279
4652.47         84.10693
4653.47         82.70505
4654.47         79.41788
4655.47         79.21656
4656.47         81.88773
4657.47          84.9355
4658.47         87.07972
4659.47         87.54444
4660.47         84.79459
4661.47         79.26093
4662.47         75.23866
4663.47         74.57108
4664.47         75.82558
4665.47         77.80688
4666.47         79.14201
4667.47         79.44286
4668.47         79.21804
4669.47         79.91722
4670.47         80.81776
4671.47          78.8323
4672.47         75.46709
4673.47         75.51334
4674.47         78.89973
4675.47          81.7126
4676.47         82.65906
4677.47         81.59595
4678.47         78.99562
4679.47         78.06921
4680.47          79.1073
4681.47         79.00044
4682.47         79.41823
4683.47         82.71435
4684.47         86.08791
4685.47         86.78046
4686.47         86.25808
4687.47         86.08463
4688.47         85.32355
4689.47         84.14581
4690.47         82.44385
4691.47         80.62456
4692.47         80.16695
4693.47         80.50498
4694.47         81.10199
4695.47         81.56639
4696.47         81.24188
4697.47          81.9229
4698.47         84.67513
4699.47          86.3209
4700.47         85.20419
4701.47          83.0627
4702.47         80.56196
4703.47         78.35519
4704.47         77.71001
4705.47         77.33199
4706.47         74.12548
4707.47         68.02589
4708.47         65.32821
4709.47         70.46981
4710.47         78.40919
4711.47         82.37592
4712.47          81.2477
4713.47         77.33958
4714.47         74.10239
4715.47          74.5588
4716.47         76.70091
4717.47         76.84234
4718.47         76.33417
4719.47         77.20005
4720.47         79.23869
4721.47          81.3058
4722.47         82.09528
4723.47         82.26307
4724.47         82.58818
4725.47         82.08949
4726.47         79.73301
4727.47         77.58979
4728.47          76.0116
4729.47         74.52564
4730.47         74.45709
4731.47         76.64925
4732.47         80.32506
4733.47         82.71607
4734.47         83.09589
4735.47         83.24113
4736.47         83.15334
4737.47         83.37735
4738.47         85.40926
4739.47         87.20915
4740.47          85.8879
4741.47         83.91337
4742.47         83.81886
4743.47         83.70546
4744.47         82.87107
4745.47         82.66248
4746.47         82.67397
4747.47         82.47224
4748.47         82.56184
4749.47         82.53185
4750.47         83.49899
4751.47          85.5227
4752.47         85.28508
4753.47         84.58431
4754.47         87.42289
4755.47         90.65773
4756.47         89.85253
4757.47         86.52136
4758.47         83.95122
4759.47         81.26907
4760.47         77.36445
4761.47         73.58756
4762.47         69.75081
4763.47         67.36086
4764.47         69.41693
4765.47         74.08473
4766.47         78.28293
4767.47         80.81197
4768.47         81.81018
4769.47         82.58437
4770.47          83.6572
4771.47          84.3818
4772.47         83.52792
4773.47         79.71398
4774.47          75.3684
4775.47          75.0519
4776.47         78.30858
4777.47          80.7392
4778.47         80.54652
4779.47         80.40031
4780.47         82.16983
4781.47         83.21313
4782.47         81.97912
4783.47          81.2005
4784.47         81.42828
4785.47         82.24967
4786.47          83.5461
